datetime,wd (deg)
2016-12-31 00:10:00,194.78079
2016-12-31 00:20:00,194.01369
2016-12-31 00:30:00,195.2517
2016-12-31 00:40:00,195.33424
2016-12-31 00:50:00,193.21384
2016-12-31 01:00:00,193.31673
2016-12-31 01:10:00,193.88437
2016-12-31 01:20:00,194.86122
2016-12-31 01:30:00,194.50626
2016-12-31 01:40:00,193.69301
2016-12-31 01:50:00,192.45209
2016-12-31 02:00:00,193.04327
2016-12-31 02:10:00,193.15613
2016-12-31 02:20:00,193.5134
2016-12-31 02:30:00,195.23471
2016-12-31 02:40:00,196.07758
2016-12-31 02:50:00,195.94778
2016-12-31 03:00:00,195.21555
2016-12-31 03:10:00,194.45477
2016-12-31 03:20:00,193.6308
2016-12-31 03:30:00,195.55197
2016-12-31 03:40:00,195.15807
2016-12-31 03:50:00,193.53734
2016-12-31 04:00:00,193.2447
2016-12-31 04:10:00,194.31133
2016-12-31 04:20:00,193.18565
2016-12-31 04:30:00,192.19798
2016-12-31 04:40:00,191.94917
2016-12-31 04:50:00,191.77551
2016-12-31 05:00:00,191.78123
2016-12-31 05:10:00,191.3835
2016-12-31 05:20:00,190.73232
2016-12-31 05:30:00,193.10298
2016-12-31 05:40:00,192.6454
2016-12-31 05:50:00,192.72897
2016-12-31 06:00:00,189.76953
2016-12-31 06:10:00,189.8433
2016-12-31 06:20:00,189.72533
2016-12-31 06:30:00,190.52283
2016-12-31 06:40:00,190.49577
2016-12-31 06:50:00,189.3508
2016-12-31 07:00:00,187.22363
2016-12-31 07:10:00,187.41339
2016-12-31 07:20:00,186.3623
2016-12-31 07:30:00,186.21454
2016-12-31 07:40:00,183.92117
2016-12-31 07:50:00,184.36726
2016-12-31 08:00:00,185.18236
2016-12-31 08:10:00,183.95523
2016-12-31 08:20:00,184.73492
2016-12-31 08:30:00,184.3086
2016-12-31 08:40:00,184.37637
2016-12-31 08:50:00,182.20879
2016-12-31 09:00:00,181.3857
2016-12-31 09:10:00,184.49498
2016-12-31 09:20:00,183.85997
2016-12-31 09:30:00,182.2691
2016-12-31 09:40:00,180.94273
2016-12-31 09:50:00,181.13321
2016-12-31 10:00:00,179.21295
2016-12-31 10:10:00,177.58435
2016-12-31 10:20:00,176.91772
2016-12-31 10:30:00,175.42957
2016-12-31 10:40:00,175.27124
2016-12-31 10:50:00,173.41663
2016-12-31 11:00:00,176.08911
2016-12-31 11:10:00,173.815
2016-12-31 11:20:00,174.26013
2016-12-31 11:30:00,174.68091
2016-12-31 11:40:00,172.94421
2016-12-31 11:50:00,172.48053
2016-12-31 12:00:00,172.52649
2016-12-31 12:10:00,172.50781
2016-12-31 12:20:00,171.2575
2016-12-31 12:30:00,168.09753
2016-12-31 12:40:00,169.11072
2016-12-31 12:50:00,164.90283
2016-12-31 13:00:00,165.23016
2016-12-31 13:10:00,166.64447
2016-12-31 13:20:00,165.54541
2016-12-31 13:30:00,166.33447
2016-12-31 13:40:00,167.87299
2016-12-31 13:50:00,164.55914
2016-12-31 14:00:00,167.20178
2016-12-31 14:10:00,171.45154
2016-12-31 14:20:00,168.73865
2016-12-31 14:30:00,168.84583
2016-12-31 14:40:00,170.19733
2016-12-31 14:50:00,168.91785
2016-12-31 15:00:00,166.98615
2016-12-31 15:10:00,169.68994
2016-12-31 15:20:00,166.78265
2016-12-31 15:30:00,168.00342
2016-12-31 15:40:00,169.84155
2016-12-31 15:50:00,166.54272
2016-12-31 16:00:00,167.41266
2016-12-31 16:10:00,169.21222
2016-12-31 16:20:00,172.3258
2016-12-31 16:30:00,173.8299
2016-12-31 16:40:00,175.73291
2016-12-31 16:50:00,175.28577
2016-12-31 17:00:00,174.47803
2016-12-31 17:10:00,176.98676
2016-12-31 17:20:00,175.32355
2016-12-31 17:30:00,175.42096
2016-12-31 17:40:00,178.22021
2016-12-31 17:50:00,179.50598
2016-12-31 18:00:00,181.92226
2016-12-31 18:10:00,184.06342
2016-12-31 18:20:00,183.71362
2016-12-31 18:30:00,186.57352
2016-12-31 18:40:00,189.93893
2016-12-31 18:50:00,187.2671
2016-12-31 19:00:00,190.1971
2016-12-31 19:10:00,191.40762
2016-12-31 19:20:00,189.93619
2016-12-31 19:30:00,188.17368
2016-12-31 19:40:00,191.98024
2016-12-31 19:50:00,191.39655
2016-12-31 20:00:00,186.95735
2016-12-31 20:10:00,189.58562
2016-12-31 20:20:00,191.78612
2016-12-31 20:30:00,189.79073
2016-12-31 20:40:00,190.3458
2016-12-31 20:50:00,191.27856
2016-12-31 21:00:00,189.61627
2016-12-31 21:10:00,188.84041
2016-12-31 21:20:00,189.28175
2016-12-31 21:30:00,188.28282
2016-12-31 21:40:00,186.42227
2016-12-31 21:50:00,190.26645
2016-12-31 22:00:00,186.32799
2016-12-31 22:10:00,189.57747
2016-12-31 22:20:00,189.68181
2016-12-31 22:30:00,186.79178
2016-12-31 22:40:00,189.74112
2016-12-31 22:50:00,188.35938
2016-12-31 23:00:00,188.08931
2016-12-31 23:10:00,189.55319
2016-12-31 23:20:00,189.33267
2016-12-31 23:30:00,187.93549
2016-12-31 23:40:00,189.11678
2016-12-31 23:50:00,192.62856
2017-01-01 00:00:00,190.52975
